所属的二进制名*,包含的Git工程ID*,所属的所属模块名*,是否影响永不倒用例,CK文件名,console文件名,最近编译时间,Git路径,所属Git仓库ID,仓库名称,仓库路径,已归档,默认分支,仓库https地址,仓库SSH地址,仓库全名称,仓库全路径,是否已授权
mmpaymdcoreao,246326,mmpaymdcoreao,仅目标资产影响,CK_mmpaymdcoreao,mmpaymdcoreaoConsole,2024-12-03 11:15:24,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymchmgr/mmpaymd/mmpaymdcoreao,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpayfundtmplmsgsvr,234403,mmpayfundtmplmsgsvr,仅目标资产影响,CK_mmpayfundtmplmsgsvr,mmpayfundtmplmsgsvrConsole,2025-02-17 10:54:28,http://git.woa.com/mmpay_svn/mmpay/tree/master/mmpayincomesplit/mmpayfundtmplmsgsvr,234403,mmpay,mmpay,否,master,https://git.woa.com/mmpay_svn/mmpay.git,git@git.woa.com:mmpay_svn/mmpay.git,mmpay_svn/mmpay,mmpay_svn/mmpay,是
mmpayappauthsvr,166055,mmpayappauthsvr,仅目标资产影响,CK_mmpayappauthsvr,mmpayappauthsvrConsole,2024-07-24 16:37:59,http://git.woa.com/mmpay_wxpay/id_auth/tree/master/application/mmpayappauthsvr,166055,id_auth,id_auth,否,master,https://git.woa.com/mmpay_wxpay/id_auth.git,git@git.woa.com:mmpay_wxpay/id_auth.git,mmpay_wxpay/id_auth,mmpay_wxpay/id_auth,是
mmpayolextticketbroker,308782,mmpayolextticketbroker,仅目标资产影响,CK_mmpayolextticketbroker,mmpayolextticketbrokerConsole,2024-10-10 17:12:58,http://git.woa.com/mmpay_wxpay/overseas/tree/master/gateway/mmpayolextticketbroker,308782,overseas,overseas,否,master,https://git.woa.com/mmpay_wxpay/overseas.git,git@git.woa.com:mmpay_wxpay/overseas.git,mmpay_wxpay/overseas,mmpay_wxpay/overseas,是
mmpaymaterialorder_refund_checker,246326,mmpaymaterialorder,仅目标资产影响,CK_mmpaymaterialorder_refund_checker,mmpaymaterialorder_refund_checkerConsole,2024-08-07 15:05:49,http://git.woa.com/mmpay_svn/mmtenpay/tree/master/mmpaymchmgr/mmpaymaterial/mmpaymaterialorder,246326,mmtenpay,mmtenpay,否,master,https://git.woa.com/mmpay_svn/mmtenpay.git,git@git.woa.com:mmpay_svn/mmtenpay.git,mmpay_svn/mmtenpay,mmpay_svn/mmtenpay,是
mmpaymchpayrollcardtokenkvsvr,558348,mmpaymchpayrollcardtokenkvsvr,均不影响,CK_mmpaymchpayrollcardtokenkvsvr,mmpaymchpayrollcardtokenkvsvrConsole,2024-09-25 17:33:32,http://git.woa.com/mmpay_wxpay/payroll_card/tree/master/domain/mmpaymchpayrollcardtokenkvsvr,558348,payroll_card,payroll_card,否,master,https://git.woa.com/mmpay_wxpay/payroll_card.git,git@git.woa.com:mmpay_wxpay/payroll_card.git,mmpay_wxpay/payroll_card,mmpay_wxpay/payroll_card,是
mmpayusergrayao,1288282,mmpayusergrayao,仅目标资产影响,CK_mmpayusergrayao,mmpayusergrayaoConsole,2024-09-17 14:10:50,http://git.woa.com/mmpay_online_rd/apd_dev_assistance/tree/master/domain/mmpayapdgrayao,1288282,apd_dev_assistance,apd_dev_assistance,否,master,https://git.woa.com/mmpay_online_rd/apd_dev_assistance.git,git@git.woa.com:mmpay_online_rd/apd_dev_assistance.git,mmpay_online_rd/apd_dev_assistance,mmpay_online_rd/apd_dev_assistance,是
mmpaysjttransassistantweb,1183348,mmpaysjttransassistantweb,仅目标资产影响,CK_mmpaysjttransassistantweb,mmpaysjttransassistantwebConsole,2024-11-28 16:44:55,http://git.woa.com/mmpay_sjt/sjt_trans_assistant/tree/master/gateway/mmpaysjttransassistantweb,1183348,sjt_trans_assistant,sjt_trans_assistant,否,master,https://git.woa.com/mmpay_sjt/sjt_trans_assistant.git,git@git.woa.com:mmpay_sjt/sjt_trans_assistant.git,mmpay_sjt/sjt_trans_assistant,mmpay_sjt/sjt_trans_assistant,是
mmpaycreditsafedataqueryproxyapi,406257,mmpaycreditsafedataqueryproxyapi,仅目标资产影响,CK_mmpaycreditsafedataqueryproxyapi,mmpaycreditsafedataqueryproxyapiConsole,2024-09-14 11:11:45,http://git.woa.com/mmpay_finance_risk/creditpay_risk/tree/master/application/mmpaycreditsafedataqueryproxyapi,406257,creditpay_risk,creditpay_risk,否,master,https://git.woa.com/mmpay_finance_risk/creditpay_risk.git,git@git.woa.com:mmpay_finance_risk/creditpay_risk.git,mmpay_finance_risk/creditpay_risk,mmpay_finance_risk/creditpay_risk,是
mmpaymultisetcolddatatranstradegroupaosvr,166046,mmpaymultisetcolddatatranstradegroupaosvr,仅目标资产影响,CK_mmpaymultisetcolddatatranstradegroupaosvr,mmpaymultisetcolddatatranstradegroupaosvrConsole,2024-11-24 16:26:41,http://git.woa.com/mmpay_wxpay/mch_trade/tree/master/domain/mmpaymultisetcolddatatranstradegroupaosvr,166046,mch_trade,mch_trade,否,master,https://git.woa.com/mmpay_wxpay/mch_trade.git,git@git.woa.com:mmpay_wxpay/mch_trade.git,mmpay_wxpay/mch_trade,mmpay_wxpay/mch_trade,是
